Filename,Goal,Gamma,Is_Baseline,Shaping_Reward,Win_Rate_%,Avg_Reward
p_2x1_099_1.pth,2x1,0.99,No,1,78.84,78.84
p_1x1_09_1.pth,1x1,0.9,No,1,77.28,77.28
p_1x1_09_baseline.pth,1x1,0.9,Yes,N/A,79.36,79.36
p_1x1_08_100.pth,1x1,0.8,No,100,57.52,57.52
p_2x2_099_100.pth,2x2,0.99,No,100,93.88,93.88
p_1x1_099_1.pth,1x1,0.99,No,1,73.24,73.24
p_2x2_09_100.pth,2x2,0.9,No,100,83.72,83.72
p_1x1_099_100.pth,1x1,0.99,No,100,73.76,73.76
p_2x2_09_baseline.pth,2x2,0.9,Yes,N/A,94.88,94.88
p_2x2_08_1.pth,2x2,0.8,No,1,94.98,94.98
p_2x1_099_100.pth,2x1,0.99,No,100,76.42,76.42
p_2x2_099_baseline.pth,2x2,0.99,Yes,N/A,81.76,81.76
p_2x2_09_1.pth,2x2,0.9,No,1,84.58,84.58
p_2x1_08_1.pth,2x1,0.8,No,1,68.82,68.82
p_2x1_09_1.pth,2x1,0.9,No,1,77.90,77.90
p_2x1_08_baseline.pth,2x1,0.8,Yes,N/A,75.94,75.94
p_1x1_09_100.pth,1x1,0.9,No,100,54.02,54.02
p_2x1_09_baseline.pth,2x1,0.9,Yes,N/A,78.70,78.70
p_2x1_08_100.pth,2x1,0.8,No,100,66.80,66.80
p_2x1_09_100.pth,2x1,0.9,No,100,71.50,71.50
p_2x2_08_100.pth,2x2,0.8,No,100,95.62,95.62
p_1x1_08_1.pth,1x1,0.8,No,1,78.22,78.22
p_2x2_099_1.pth,2x2,0.99,No,1,95.32,95.32
p_1x1_08_baseline.pth,1x1,0.8,Yes,N/A,63.22,63.22
p_2x2_08_baseline.pth,2x2,0.8,Yes,N/A,94.84,94.84
p_2x1_099_baseline.pth,2x1,0.99,Yes,N/A,76.42,76.42
p_1x1_099_baseline.pth,1x1,0.99,Yes,N/A,81.90,81.90
